Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
1678,14,7.6,14.8,0,1.2,4,3,43,5,3,15,22,73,59,1012.4,1007,7,6,9.9,14.5,0,1
889,21,8.4,24.3,0,3.6,10.7,14,35,14,14,22,20,54,28,1021.8,1017.9,0,0,16.9,23.9,0,0
2095,6,9,14.1,20.6,3.6,0,13,48,13,15,28,26,87,87,1013.5,1013.7,8,8,10.8,12,1,1
1422,18,20.5,31.4,0,10.6,11.7,4,43,9,1,15,31,55,57,1015.6,1012.4,3,1,27.9,29.2,0,0
2902,9,8.4,17.8,2.2,3.2,4.4,10,37,7,15,17,13,74,93,1003.6,1003,3,8,14.7,12.2,1,1
1290,10,13.1,18.4,1.8,1.4,7.8,11,57,9,11,13,31,73,71,1015.2,1011.7,2,2,17.1,18.1,1,1
605,19,-1.7,13.1,0,1.6,7.6,14,24,0,6,2,13,86,58,1023.4,1019.7,1,7,4.5,12,0,0
513,0,15.6,29.7,0,6.4,10.4,12,30,11,9,6,11,64,34,1014.8,1011.5,4,2,22,28.8,0,0
416,3,19,35.5,0,12,12.3,1,48,1,15,30,9,46,28,1008.3,1004,1,5,23.4,33.3,0,0
1078,18,24.1,28.1,0,7.6,0.2,8,39,9,2,13,17,66,70,1014.3,1011.5,8,8,26.7,26.4,0,1
3407,5,4.2,15.5,0,1.8,8.9,4,15,5,8,9,6,95,66,1026.3,1024.6,1,2,5.4,14.9,0,0
714,17,18.5,19.5,1.2,13.2,0,9,43,9,0,17,17,82,76,1017.8,1015.5,8,8,18.9,18.8,1,1
2121,20,15.3,18.3,0.6,5.8,1.7,11,43,11,12,7,17,100,100,1006.3,1003.3,8,8,15.6,15,0,1
2506,12,19.1,34.4,0,12,13.3,11,35,2,11,13,20,38,40,1016.6,1013.1,0,0,26.7,30.3,0,0
836,20,17.7,28.8,0.6,4,5.7,13,81,12,13,2,39,94,86,1009.6,1009.7,7,7,20.7,19.1,0,1
2867,1,22.5,29.8,4.8,2.2,2.1,4,22,9,5,13,13,80,79,1009.2,1006.6,6,8,26.5,27.6,1,1
1827,0,22.1,29.7,1.2,9.4,6.1,9,26,8,9,4,7,73,72,1012.5,1009.9,6,7,26.3,26.6,1,1
1627,19,5.7,12.8,0.2,1.4,1.2,13,39,7,13,13,24,99,63,1008.3,1005.6,8,7,6.4,12.2,0,1
1685,4,4,17,0,2.6,10.1,12,31,15,10,13,17,47,40,1022.1,1018.3,1,1,13.2,16.2,0,0
1223,9,7.8,22.7,0,2.6,10.3,2,26,2,2,13,9,86,58,1026.7,1023.4,1,3,12.7,22,0,0
3243,16,20.1,25.9,1.2,7.8,5.6,2,31,2,2,22,22,53,45,1021.4,1020,7,7,24,23.7,1,1
3017,20,12.4,16.9,2.4,5.6,7,13,50,14,13,20,22,65,43,1017.1,1017.2,2,6,12.5,15.8,1,1
895,19,10.7,26.2,0,2.8,8.4,13,76,5,7,9,33,66,20,1018.8,1012.6,4,2,17.8,25.3,0,1
1578,0,18.6,25.3,7.6,3.6,3.7,0,20,11,0,4,9,91,72,1021,1017.5,7,7,21.8,23.2,1,1
1269,11,3.7,13.1,0,0.8,1.8,10,33,9,9,13,19,93,60,1031.9,1029,7,7,8,11.8,0,0
2073,14,10.5,13,9.4,3,0,10,43,0,2,19,20,99,99,1012.7,1008.6,8,8,10.5,11.3,1,1
2727,9,8.5,13.5,1.6,1,2.1,15,24,6,15,7,13,97,82,1027.1,1025.6,7,7,10.1,11.9,1,0
703,17,17.1,22.6,0,7,9.2,8,35,10,2,19,20,65,52,1019.6,1016.1,4,1,18.8,22.1,0,0
1299,22,5.6,11.3,0,2.8,3.2,2,28,0,6,7,9,75,70,1028.9,1025.1,7,7,8,10.4,0,1
1059,8,17.7,19.2,2.6,1.6,0,5,67,5,5,31,33,92,97,1005.7,998.1,8,8,18.1,17.8,1,1
2721,6,7.2,11.1,0.4,3.6,0,3,80,15,12,22,17,84,53,1013,1014.7,7,8,9,10.6,0,0
1427,4,20.6,24.9,0,5,3.5,12,28,11,2,15,15,74,75,1019.8,1016.9,7,7,22.7,24.3,0,0
830,0,21.9,29.8,9.4,2.6,6.4,1,28,9,1,9,17,76,65,1017.1,1013.8,4,7,26.6,28.5,1,1
3059,12,4.8,14.7,0.4,0.6,7.6,2,35,2,2,11,13,68,53,1030.3,1026.9,6,6,8.3,14.1,0,0
3276,7,22.6,25.1,0,6.7,0.2,10,35,8,10,9,13,83,94,1012.1,1012.3,8,8,23.5,22.5,0,1
3146,5,12.5,16.7,1.8,5.6,5.4,3,48,6,3,17,20,74,43,989.5,988.3,7,7,12.6,15.3,1,1
859,3,23.3,32.4,0,8.4,2,12,50,7,3,9,7,51,33,1015.9,1014.2,7,8,25.4,29.9,0,1
1427,15,11,20.3,0.2,4,10.7,0,39,1,2,20,24,58,62,1020.1,1017.1,4,2,16.7,19.1,0,0
2588,0,24.7,30.3,0.2,5.8,1.9,0,57,4,7,4,6,80,98,1017.6,1016.5,7,8,26.5,22.3,0,1
1548,6,9.6,20.2,10,2.4,10,10,35,13,8,11,20,80,56,1019,1019.6,2,5,13.9,19.4,1,0
1625,19,4.1,14.8,0,1.8,0.3,1,17,1,4,11,7,82,74,1022.8,1019,7,7,8.2,13.6,0,1
1447,20,9.4,27.9,0,6.4,13.3,5,30,1,6,9,11,67,35,1014.1,1010.5,1,7,19.3,26.7,0,0
3222,12,15.6,30.1,0,8.6,13.3,1,31,1,11,15,15,54,46,1021.5,1016.6,0,1,21.4,28.3,0,0
1522,15,17.6,24.5,0.4,2.8,3.5,9,28,12,9,13,19,88,67,1014.3,1013.7,7,7,19.5,22.3,0,1
1030,1,18.4,30.3,0,6.4,10.6,1,31,10,1,15,22,66,57,1015.7,1012.9,1,1,26.2,28.5,0,0
2260,9,3.4,17.2,0,2,9.5,2,35,1,0,9,15,71,40,1026.3,1022.3,2,1,11.7,16.8,0,0
2671,1,20.4,26.1,28.2,2,5,9,50,10,9,24,31,76,71,1017.6,1014.7,6,7,24,24.9,1,1
758,14,10.9,18.7,11.8,3.2,7,13,63,15,14,22,44,62,61,1018.6,1017.4,4,5,14.8,17.7,1,0
1259,10,17.7,22.5,22.8,3.8,9.4,4,63,5,6,20,22,84,76,1008.5,1007.7,1,1,21.1,21.8,1,1
649,7,7.3,18.8,0,2.4,6.5,14,41,14,13,17,24,70,47,1021.8,1019.4,3,7,11.8,17.8,0,0
1192,0,18.3,29.3,0,4.2,11.2,0,22,12,1,4,11,61,56,1015.2,1012.4,2,2,25.5,27.9,0,0
2238,19,16,22.2,9.8,0.8,2.8,9,17,8,9,11,7,97,78,1019.3,1018.3,8,7,16.6,19.9,1,1
807,1,24.4,36.4,0,7.4,10.7,4,41,7,1,9,22,59,59,1008.5,1005.4,1,2,31.5,33.6,0,1
705,21,15.3,17.6,10.4,2.8,0,9,57,2,9,26,37,84,78,1020.8,1022.7,8,8,16.2,16,1,1
2174,0,22.7,26.9,0,6.8,1.2,4,33,0,2,15,15,54,57,1014.8,1013.3,7,7,25,25.6,0,0
2730,20,6.8,15.1,0.2,3.4,7.1,3,61,5,3,15,24,63,55,1009.9,1008,4,2,11.2,14.4,0,0
750,1,23.3,29.4,2.2,7.6,0.2,10,26,8,8,11,9,92,81,1011.5,1008.6,8,7,26,28.2,1,1
2437,22,20.7,38.9,0,13.6,6,6,54,5,3,24,30,7,4,1018.6,1016.1,3,5,29,37.2,0,0
1968,20,0.3,13.6,0,2.6,8.2,4,13,5,1,6,6,100,54,1037.4,1033.1,1,4,1.7,13.3,0,0
2045,9,10,20.2,0,4,8.5,6,57,3,6,20,31,79,63,1001.5,1000.8,2,7,16.1,18.7,0,1
1355,5,12.1,16.7,0,5.2,4.2,13,74,7,13,30,37,51,45,1010.4,1012.5,7,5,16.2,12.8,0,0
271,0,8.5,16.9,0,3.8,0,14,19,12,10,7,4,68,54,1025.3,1022.8,8,8,12.1,16.8,0,0
789,15,8.6,19.9,4,8.2,6.3,12,57,13,11,24,33,91,42,1007,1007.8,8,5,9.8,19.2,1,1
2510,17,21.1,27.5,0.2,9.2,3.6,8,50,11,8,13,24,77,86,1019.1,1018,7,7,22.4,23.3,0,0
447,1,24.6,29.9,13.2,3,5.4,14,28,6,6,6,9,76,84,1010.3,1007.6,7,7,29,28.2,1,1
500,12,14.5,29.7,0,6.4,10.3,0,30,0,2,7,9,52,20,1028.2,1024.1,4,2,18.5,28.9,0,0
805,7,24.9,32.9,0,13,2.1,4,61,1,1,22,15,43,32,1008.8,1006.4,7,7,26.6,32.3,0,1
3348,17,16,23.4,0,4.6,6.1,11,39,10,8,19,24,62,71,1030.5,1028.1,3,6,22.2,22.2,0,1
2967,20,9.5,20.9,0,4,9.8,12,35,11,12,6,15,70,44,1026.5,1024.6,5,1,13.9,19.6,0,0
2033,19,1.4,16.5,0,2.8,9.3,12,35,14,12,6,22,83,50,1016.7,1015.1,1,6,9.8,14.5,0,0
2369,16,6.4,19.3,0.2,2.8,10.3,10,30,13,9,20,22,64,49,1035,1032.5,1,2,9.5,18.1,0,0
3194,17,14.1,23.8,0,5.2,12.7,9,35,12,9,9,28,55,56,1020.1,1021.4,0,3,20.3,21.1,0,0
3128,6,6.6,16.6,1.2,1.2,7.2,3,37,3,7,15,22,71,50,1019.6,1017.3,1,7,11.8,15.7,1,1
868,8,18.5,24.7,1.8,3.6,0,5,41,5,2,31,17,72,94,1019.2,1016.7,7,8,20.8,20.4,1,1
3127,0,16.2,23.3,7.2,3.4,2.9,4,28,4,3,6,7,79,87,1020,1016.2,6,7,21.4,19.7,1,1
1127,6,7.1,24.7,0.2,3.6,13.4,12,33,5,5,6,13,63,34,1019.4,1015.9,2,4,13.8,22.2,0,0
2720,14,5,11.4,5.4,1.6,3.9,6,48,6,6,17,24,77,63,1019.9,1014.8,8,6,7.1,10.5,1,1
1176,4,18.5,24.8,0,2.4,3.3,8,44,12,11,22,28,70,67,1021.6,1021.7,7,6,21.1,22.7,0,1
2896,9,15.7,23,1.2,6.2,6.5,12,37,11,11,20,24,68,56,1014.9,1016,7,8,18.7,19.9,1,0
1768,1,18.6,30.4,0,9,6,10,35,8,4,13,13,58,54,1013.2,1009.9,8,8,26.2,29,0,1
1811,13,12.7,37.9,0,8.2,13.2,0,41,0,12,24,22,38,20,1012.6,1007.4,0,0,25.7,35.6,0,0
3117,20,12.1,20,1,1.6,7.3,7,37,3,14,9,17,81,49,1013.8,1012.6,5,6,15.5,18.3,0,0
413,9,13.7,21.2,1.4,4.8,8,12,44,11,12,19,26,89,41,1012.3,1013,8,5,14.8,19.9,1,0
1677,17,10.5,14.4,6.6,2.4,0.6,11,37,13,6,15,11,94,93,1027.8,1025.8,7,7,11.5,13.1,1,1
1071,18,20.9,29.7,0,6.8,11,1,37,0,1,17,26,60,69,1015.1,1011.6,3,6,27.6,27.2,0,0
750,6,12.2,24.1,0,7.4,4.6,13,63,7,12,20,43,42,79,1007.4,1004.9,7,7,19,17.3,0,1
469,4,21.1,30.4,0.6,1.8,5,5,48,6,5,20,31,68,80,1012,1007.7,3,7,26.5,26.6,0,1
3274,7,19.2,38,0,7.2,3.4,15,41,4,3,9,15,41,17,1011,1008.8,7,1,23.8,35,0,0
2524,13,18.4,32.2,0,9.8,13.2,12,39,2,15,24,26,42,33,1017.5,1013.8,0,0,24.1,29.8,0,0
2313,12,8.1,18.6,3.4,2.2,2.4,6,20,1,14,6,7,98,81,1020.8,1018.7,7,6,11.6,17.9,1,1
580,9,7.3,14.1,1.2,1.4,5.1,5,39,5,3,17,13,87,53,1012,1009.9,5,7,9.9,12,1,0
1911,19,12.9,14.9,13.8,3.6,0.1,3,44,5,13,15,22,88,92,1016.6,1013.5,8,8,14.2,13.3,1,1
1302,4,10.1,16.4,0,1.6,2.1,10,46,12,13,20,11,64,84,1032.1,1029.7,7,7,12.7,14.3,0,1
2695,12,9.1,20,2.6,1.2,4,14,28,5,6,9,9,99,94,1022.6,1020.2,6,8,12.2,16.5,1,1
2158,4,17.8,28.1,0,7.4,12.6,1,33,12,1,9,24,66,62,1023.2,1021.6,7,2,24.6,26.7,0,0
581,19,8,15.6,5.6,1.6,5.4,7,57,0,13,11,13,78,64,1014.9,1012.2,7,3,10.1,15.6,1,0
545,3,12.8,14.7,7.6,4.6,0,4,41,1,0,20,17,96,91,1018.7,1015.6,8,8,13.9,13.7,1,1
3232,17,19.2,28.1,0,9.4,4.3,7,41,3,4,7,26,65,59,1015.7,1013.8,7,7,24.2,25.7,0,0
1401,20,12.5,19.2,3.4,0.2,1.4,13,26,1,10,7,4,99,90,1024.1,1022,8,7,12.5,16.8,1,1
400,12,14.3,26.6,0,9.4,13.2,12,46,10,11,15,26,62,45,1012.5,1011.5,1,0,18.3,24.7,0,0
3384,5,13.7,18.5,0,2.2,1.4,6,35,3,6,11,17,67,53,1020.9,1018,7,7,14,17.9,0,0
1143,9,16.2,37.2,0,9.4,9.8,3,50,3,15,19,28,24,22,1005.2,1003.6,5,1,28.8,34.8,0,1
2624,20,9.9,14.5,6,1.1,2.4,12,46,15,11,11,15,100,80,1018.3,1018.6,7,7,10.2,13.9,1,1
2633,16,14.7,27.5,0,1.6,9.8,13,41,6,6,20,26,84,33,1008.3,1003.9,4,1,19,27,0,0
2876,16,20.2,24.6,0,8,0,9,44,10,9,20,22,63,84,1015.2,1014.7,8,8,22.2,19.9,0,1
1163,8,25.2,39.9,0,13,12.2,15,81,5,7,20,15,52,28,1014.8,1010.9,0,1,28.5,37.1,0,1
1396,12,17.6,22.9,0,7,5.6,15,35,12,13,13,17,68,59,1012.2,1011.7,7,6,20.1,20.8,0,1
2181,10,20,23,17.8,0.6,1.3,10,43,8,11,20,19,93,78,1012.2,1013.3,8,8,20.7,22,1,0
2226,1,23.6,29.8,4,5,2,0,52,8,2,17,17,79,96,1011.9,1009.8,7,8,26.2,24,1,1
779,17,21,26.9,0,6,7.7,4,44,0,1,15,28,62,57,1021.6,1019.2,7,1,23.3,25.8,0,0
1780,12,13.1,19,26,3.4,7,15,54,14,13,19,20,49,46,1003.3,1003.7,6,3,18.4,18.3,1,1
3025,0,11.3,24.9,0,2.8,6.1,2,22,12,2,6,11,64,52,1026.9,1023.6,5,6,16.8,21.8,0,0
1657,10,15.2,19.4,0.2,4.2,7.3,14,52,14,14,26,22,57,65,1014.8,1013.5,2,2,18.2,18.8,0,1
3388,13,7.6,21.4,0,2.4,8.6,0,43,1,0,17,13,64,37,1026.3,1022.6,1,0,11.8,21.2,0,0
645,13,3.3,17.8,0,3.4,10,11,35,8,11,7,20,73,47,1014.7,1011.2,1,2,12.3,17.3,0,0
909,19,1.9,19.3,0,0.6,9.1,12,22,0,13,11,7,84,43,1020.5,1018.6,1,2,8.2,19.1,0,0
1278,14,6.9,11.8,28.8,3.2,5,15,72,15,15,31,39,62,56,1000.6,1003.1,5,5,8.9,11,1,1
416,19,15.9,29.7,0,11.4,12.7,1,61,1,1,26,20,43,31,1013.4,1008.8,2,6,19.3,27.1,0,0
427,17,20.9,33.7,3,12.8,7.4,11,59,7,4,13,39,57,45,1011.8,1007.6,2,3,27.6,31.2,1,0
940,13,9.3,20.1,0.2,1.4,5.3,6,20,4,14,9,11,85,67,1026.3,1025.2,4,3,13.4,18.1,0,0
1898,15,4.8,17.3,0,2.4,5.1,1,20,14,0,7,13,89,59,1027.3,1023.3,8,7,9.5,16.2,0,0
385,1,26,32.6,0.2,5.8,4,1,28,2,5,15,11,80,72,1009.9,1007.5,7,7,28.9,29.5,0,0
2715,12,3.9,18.2,0,1.8,7.9,4,20,1,0,9,7,87,56,1032.9,1029.8,1,5,11,17.2,0,0
1717,11,3.2,20.4,0,3.2,10.9,14,46,7,13,22,17,33,28,1022.2,1020.7,1,0,16,20.2,0,0
1968,13,3.4,19.6,0,2.4,3.3,13,39,3,6,7,19,66,56,1019.4,1015.7,6,7,8.7,17.9,0,1
866,11,13.1,29.7,0,4,8.2,3,43,5,4,13,17,28,17,1014.5,1009.9,7,7,22.8,28.1,0,1
51,2,19.9,22,11,4.4,5.9,6,76,3,14,41,30,92,62,996.5,996.8,8,3,20.6,19.6,1,1
1008,9,3.6,10.9,14.6,0.4,3.9,13,65,6,13,20,24,90,78,1001.9,998.3,8,7,7.4,9.8,1,1
1117,9,10.3,18,6.2,3.6,6.9,14,44,15,13,20,30,64,48,1006.6,1008.6,7,5,14.5,17.2,1,0
1368,0,13.9,30.6,0,5.2,10.6,1,24,11,1,4,11,48,28,1021.2,1016.6,0,0,21.8,28.4,0,0
1659,12,4.9,22.6,0,2.4,7.1,14,31,4,7,9,13,51,51,1021.6,1017.8,4,6,11.3,21.1,0,1
2339,17,10.9,16.9,1.2,0.4,0,7,26,7,3,11,7,79,70,1025.7,1021.2,7,8,13.3,16.1,1,1
639,13,10.1,17.2,11.8,1.6,7.7,15,48,5,15,9,22,92,51,1014.5,1012.1,5,5,12.2,15.8,1,1
3086,12,12.3,15.6,6.4,2.6,5.7,12,56,15,11,20,15,83,67,1018.5,1023.2,7,3,12.5,13.4,1,0
446,1,25,30.1,6.8,2.8,1.9,3,30,1,6,7,17,82,85,1009.3,1007.3,7,7,28.5,28.3,1,1
972,20,0,11.5,0.4,1.2,1.3,15,22,1,12,11,9,99,89,1023.9,1023.8,7,7,3.1,8.9,0,1
2143,0,23.2,29,0,9,0.5,0,20,2,2,6,9,66,60,1011.2,1009.5,8,6,25.8,28,0,0
1663,20,8.5,13.7,0,1.8,0,3,46,1,4,6,11,87,78,1017.6,1010.9,8,8,9.9,13.4,0,1
2631,6,7.5,18.6,0,3.2,7.6,8,26,3,8,9,11,74,54,1020.5,1017.9,6,3,13.6,18.1,0,0
1293,15,6.4,14.8,1.2,2.6,2.9,14,57,7,14,22,30,66,46,1003.3,999.5,7,6,10,14.5,1,1
899,8,3.2,25.3,0,2.8,10.6,4,19,1,6,7,7,38,16,1021.2,1017.5,1,0,15.4,24.8,0,0
662,18,20.3,29.4,0,10.4,8.9,1,39,10,1,15,30,47,43,1022.2,1018.6,5,4,25.6,27.6,0,0
2041,10,17.9,21.9,0,3.2,9.4,3,48,5,3,24,15,84,81,1017.3,1014.8,3,7,20,20.5,0,1
1132,13,21.1,40.7,0,16,11.9,0,65,4,15,31,24,28,22,1005.8,1002.2,2,5,32.4,36.8,0,0
2375,17,10,15.3,9.2,4.6,5,8,52,15,8,20,33,66,59,1024.7,1024.3,7,6,12.9,14.9,1,1
578,2,8,13.7,11,1.4,1.3,7,17,12,10,2,4,99,68,1025.1,1021.3,8,7,10.2,13.5,1,1
977,15,1.9,14.6,0,1.4,8.6,15,31,14,13,17,19,88,61,1031.4,1029.6,2,5,6,14.1,0,1
3245,13,16.5,24.1,0,10,9.3,12,52,12,12,26,35,44,43,1011.7,1009.5,7,3,19.6,23,0,0
1648,22,3.2,16.5,0,2.6,7.6,9,26,11,9,9,13,65,42,1034.9,1031.8,5,5,9.7,15.8,0,0
1917,18,20.4,25.8,2,1.2,1.1,0,26,0,0,9,19,82,56,1018.5,1015.2,7,7,22.6,25.4,1,0
1044,13,19.2,24.3,0,9.4,1.5,0,54,1,2,19,28,34,31,1011.2,1009.6,7,7,19.8,23,0,0
1040,18,22.2,29.1,7.8,7.4,11,1,35,9,4,13,28,78,71,1017.4,1013.8,6,2,26,27.4,1,0
3088,13,4.8,17.3,0,2,9.7,5,44,4,4,19,13,53,35,1026.4,1021.4,1,1,10,17,0,0
424,7,15.4,32.7,0,10.2,11.7,9,28,9,9,15,13,30,12,1019,1016,7,6,19.6,30,0,0
2527,13,19.1,28.2,0,9.6,12.3,12,30,11,13,13,19,54,38,1013,1011.5,6,5,23.8,27.5,0,0
2832,1,20.5,31.1,0,11,11.2,9,50,9,2,26,35,51,51,1014.8,1011.1,3,2,27.8,29.3,0,0
868,19,17.2,23.4,2.2,2.8,0.7,3,31,5,6,7,11,84,73,1013.5,1011.1,7,7,19,23,1,0
2218,12,13.7,26.8,0,6.2,9.9,11,35,8,11,7,17,56,51,1020.1,1016.9,1,1,20.3,25,0,0
2034,14,5.9,11.8,0,3.6,0.3,1,35,1,4,11,11,75,91,1014.7,1012.5,8,8,8,9.8,0,1
3119,5,9.6,15,0.4,2,0.3,10,30,2,8,9,13,82,73,1014.3,1007.9,7,7,12,13.8,0,0
1028,2,2.2,15,0,4.4,1.9,1,43,10,0,6,17,80,73,1017.1,1012.6,6,7,10.1,11.2,0,1
2487,7,18.4,32.6,0,12,3,8,50,12,8,9,22,35,42,1010.6,1009.2,6,8,25.9,25.4,0,1
2706,0,6.9,16.1,0,3.2,9.7,13,56,13,13,19,20,57,48,1018.2,1015.8,1,1,10.1,14.3,0,0
1788,5,17.2,26.8,5.4,14.4,7.9,3,93,3,12,54,39,31,60,1015.2,1018.1,7,7,20.3,19.2,1,0
1686,20,0.8,11.8,0,1.2,2.5,3,35,1,3,6,19,100,64,1021.9,1017.9,7,7,3.1,11.4,0,0
955,10,14.8,19,0,2.6,2.4,5,35,9,5,9,13,67,65,1023,1018.3,7,7,16.6,17.7,0,1
2542,19,12,29.7,0,8,13.4,15,41,1,13,22,9,47,29,1020,1016.1,1,1,18.7,26.7,0,0
615,14,8.5,13.8,8.2,1.2,5.9,14,57,7,14,19,35,96,71,1020.1,1019,7,6,10.4,13.3,1,1
3218,6,10.9,19.3,0,4.6,10.2,8,35,11,10,13,19,55,45,1023.9,1022.4,7,2,13.5,18.5,0,1
1201,7,12.2,32.4,0,5,11.7,4,39,1,4,20,19,56,36,1019.7,1017.2,0,0,19.9,31.1,0,0
2213,21,14.6,27,0,5.6,11.1,9,39,4,2,9,28,72,49,1023.6,1020.8,2,1,22.5,26.2,0,0
2318,17,11.6,17.5,0,6.2,9.7,14,81,7,14,44,48,36,29,1006.9,1003.8,1,1,12.9,16.5,0,0
3028,17,11.8,18.8,0,2.4,1.3,2,46,10,8,2,17,79,81,1025.2,1021.6,7,7,14.6,17.2,0,1
1423,17,18.9,25.1,0,5.8,2.6,1,39,10,1,13,30,87,64,1018.6,1013.8,7,7,19.9,23.5,0,0
904,13,10,16.6,19.6,4.8,1.4,13,56,11,10,15,24,96,62,1010.7,1011.5,7,7,13.1,15.7,1,0
2261,9,6.4,24,0.4,3.6,4.3,3,56,5,3,28,33,72,38,1016.2,1009.9,7,2,11.6,22.9,0,1
3034,13,7.7,16.3,0,1.8,3.2,3,28,5,6,11,13,69,58,1028.4,1026,7,5,10.2,15.9,0,0
1938,12,11.3,21,0.6,1.2,3.5,14,35,5,6,9,11,90,87,1018.6,1015.2,4,6,15.8,18.8,0,1
